Date,Open,High,Low,Close,Volume,ticker
2021-01-01,29329.5631,29825.2181,29107.6874,29620.2374,13554609944.0,BTC
2021-01-02,29911.588,30012.6973,29004.9741,29457.5641,18701693850.0,BTC
2021-01-03,29490.0175,30841.9755,29188.7372,30278.977,33554300166.0,BTC
2021-01-04,30090.0511,32596.5029,29903.8239,32288.8154,23379679357.0,BTC
2021-01-05,32457.357,32517.3211,31755.2709,31982.4225,25184278285.0,BTC
2021-01-06,31792.1146,32554.9271,31166.7284,31678.9589,16040707917.0,BTC
2021-01-07,31555.7937,34607.8279,31521.4618,33861.5327,20088483179.0,BTC
2021-01-08,33772.3478,35392.8515,33513.3039,34981.2394,27972396587.0,BTC
2021-01-09,34905.348,35285.9184,34023.5908,34308.5288,39851946145.0,BTC
2021-01-10,33967.6517,35667.0405,33408.2668,35109.8422,18971668826.0,BTC
2021-01-11,35209.7828,35299.7961,34061.7727,34443.4192,89835073064.0,BTC
2021-01-12,34485.774,34984.2949,33431.0571,33786.3645,41716931926.0,BTC
2021-01-13,33630.8261,34851.8951,33192.2174,34141.7071,33620610931.0,BTC
2021-01-14,33852.9081,33934.3318,30979.8776,31514.9473,35412665853.0,BTC
2021-01-15,31696.861,32122.0572,28898.0747,29321.3348,40307132127.0,BTC
2021-01-16,29114.5915,29373.0309,28227.8309,28645.5848,23987562862.0,BTC
2021-01-17,28701.8592,29237.3187,27432.2744,27460.8243,23523550557.0,BTC
2021-01-18,27698.6973,28291.0923,27286.2624,27834.0142,46034571687.0,BTC
2021-01-19,27621.5495,27920.904,26670.6917,26800.5335,33445748442.0,BTC
2021-01-20,26738.2667,27131.9859,24989.4,25264.621,19578873730.0,BTC
2021-01-21,25181.0008,26920.5432,24566.096,26876.7684,14282958427.0,BTC
2021-01-22,27055.0673,27259.4332,26296.4501,26631.0994,29384275431.0,BTC
2021-01-23,26502.8955,27016.9415,26395.4402,26714.7505,23221406140.0,BTC
2021-01-24,26897.4439,27044.477,25026.2022,25170.5949,13928225699.0,BTC
2021-01-25,24986.0843,25059.4044,24423.711,24609.0034,5946154560.0,BTC
2021-01-26,24607.2617,25015.3613,24422.9089,24731.3363,18499982658.0,BTC
2021-01-27,24785.8566,24891.1593,23407.0675,23571.2886,31603344478.0,BTC
2021-01-28,23645.2813,24527.255,23093.282,23953.3623,23778903657.0,BTC
2021-01-29,23839.2033,24004.3492,23287.732,23363.6613,22579421757.0,BTC
2021-01-30,23246.6309,23421.6035,22929.7054,23086.1008,52731874891.0,BTC
2021-01-31,22885.4208,23176.1048,21971.987,22516.7407,21830629887.0,BTC
2021-02-01,22319.7882,24899.6619,21836.3838,24345.6879,7439143303.0,BTC
2021-02-02,24271.3573,24889.1597,23677.2858,24339.1913,38896276376.0,BTC
2021-02-03,24418.9215,25007.9417,23019.4786,23288.6008,11445571612.0,BTC
2021-02-04,23396.1107,24706.4782,22955.2513,24114.4414,19189235796.0,BTC
2021-02-05,24188.7981,24327.9888,22654.0249,22916.0023,31566322736.0,BTC
2021-02-06,22965.7425,23341.948,22454.486,23124.8484,24558427730.0,BTC
2021-02-07,22963.5511,23110.6925,20899.859,21304.1435,27637137324.0,BTC
2021-02-08,21314.11,21394.1328,20066.4969,20154.3021,44398003383.0,BTC
2021-02-09,20244.1154,20381.0703,20081.9204,20327.7295,16528409935.0,BTC
2021-02-10,20310.7765,21239.34,19883.8153,20974.3767,26100325001.0,BTC
2021-02-11,21161.3416,21614.1818,20943.2272,21132.2224,7670713280.0,BTC
2021-02-12,21196.0305,21494.6903,20541.6734,21036.1372,15089671038.0,BTC
2021-02-13,21041.3973,21469.6674,20487.5742,20778.0143,18099670529.0,BTC
2021-02-14,20638.6796,20822.8831,19399.2819,19532.8468,16764772695.0,BTC
2021-02-15,19540.42,19656.0436,18882.2856,18956.8253,21605981344.0,BTC
2021-02-16,19140.7026,19514.488,18146.3224,18599.1748,11441881286.0,BTC
2021-02-17,18437.4381,19685.4084,18378.8307,19449.4025,22842797690.0,BTC
2021-02-18,19295.9364,20068.9149,19194.256,19738.0514,123399814569.0,BTC
2021-02-19,19690.8459,20077.0756,18300.8288,18334.7952,26456742219.0,BTC
2021-02-20,18256.7395,18964.0054,18053.4003,18591.6426,12179288385.0,BTC
2021-02-21,18641.6847,19017.3136,18015.2868,18298.8588,25862746653.0,BTC
2021-02-22,18173.6781,18495.3809,17685.2049,17791.2716,38292829618.0,BTC
2021-02-23,17726.0707,18653.6398,17668.4156,18259.7353,21146790801.0,BTC
2021-02-24,18144.4159,19501.8181,17975.7277,19073.5081,20430964000.0,BTC
2021-02-25,18940.7962,20069.7858,18746.978,19840.2782,25304583699.0,BTC
2021-02-26,20025.6367,20246.4446,19132.4277,19158.8929,50652374116.0,BTC
2021-02-27,19223.2361,19535.2698,18519.7732,18917.3609,22766808150.0,BTC
2021-02-28,18789.5679,19213.1486,18572.2503,19188.1545,40924987700.0,BTC
2021-03-01,19198.6694,20361.9044,19128.9052,19996.6754,27551802933.0,BTC
2021-03-02,19871.6609,20300.8143,19499.4042,19604.1389,20953227221.0,BTC
2021-03-03,19620.1334,19974.1949,19118.0572,19457.703,48300086838.0,BTC
2021-03-04,19441.8509,19628.243,18335.7184,18579.8371,23566861732.0,BTC
2021-03-05,18701.8134,18870.9712,17306.5764,17674.7362,38060836425.0,BTC
2021-03-06,17533.5637,18417.4139,17154.9672,18293.803,32859556273.0,BTC
2021-03-07,18238.1684,19600.669,18109.9875,19371.9172,45945462040.0,BTC
2021-03-08,19314.7216,19728.6774,19050.3203,19319.2117,53492093120.0,BTC
2021-03-09,19504.3303,20483.8688,19075.8271,20156.9352,13864837090.0,BTC
2021-03-10,20232.0509,20526.2581,19811.1667,20471.5706,45273212367.0,BTC
2021-03-11,20617.2206,20750.2493,19832.44,19930.318,38649138059.0,BTC
2021-03-12,20007.7077,20510.495,19654.1206,20241.2117,12754523395.0,BTC
2021-03-13,20124.8831,21637.181,19768.5663,21598.3785,32324638771.0,BTC
2021-03-14,21758.7268,22180.5318,21441.2737,21572.3748,27348637648.0,BTC
2021-03-15,21643.5571,23211.5346,21573.7064,23044.5335,34993512091.0,BTC
2021-03-16,22865.2422,23133.4362,20361.5772,20649.669,64638925570.0,BTC
2021-03-17,20800.2313,21683.2484,20470.1236,21381.3532,19129119054.0,BTC
2021-03-18,21483.9426,21978.8003,21073.7237,21466.1048,23893565189.0,BTC
2021-03-19,21619.9488,21793.1946,21137.9584,21204.5729,36171845417.0,BTC
2021-03-20,21000.1636,21806.1549,20841.4046,21292.8389,34006768110.0,BTC
2021-03-21,21209.6908,21653.0894,19235.9508,19593.4029,30039689228.0,BTC
2021-03-22,19435.2976,19567.5636,18939.585,19419.2861,62675314580.0,BTC
2021-03-23,19407.156,19880.9525,19200.6751,19718.6607,14761679726.0,BTC
2021-03-24,19814.5695,21032.9465,19748.5767,20987.709,14657825609.0,BTC
2021-03-25,21135.5732,21495.4552,20320.8735,20541.9601,23727891568.0,BTC
2021-03-26,20662.9844,20700.8408,19643.3562,19862.0902,22976339367.0,BTC
2021-03-27,20058.8987,20490.9013,19210.8496,19453.7354,15724173755.0,BTC
2021-03-28,19295.7155,20683.997,19123.2274,20222.3007,28164443575.0,BTC
2021-03-29,20355.4795,20962.7796,20125.9213,20509.6096,6470540720.0,BTC
2021-03-30,20434.5225,20668.0953,19935.3788,20064.33,35086396268.0,BTC
2021-03-31,20105.2305,20967.5028,19816.5419,20507.7085,55981145910.0,BTC
2021-04-01,20545.3185,20965.6134,20148.7611,20597.6728,48246971147.0,BTC
2021-04-02,20602.7661,21534.5036,20277.8249,21459.3659,74020877635.0,BTC
2021-04-03,21652.7281,21986.5185,20693.0005,20842.0996,22895329062.0,BTC
2021-04-04,20844.7115,21182.7814,20084.3286,20563.4072,17247039956.0,BTC
2021-04-05,20552.0946,20595.163,19795.7569,20233.6003,12921137926.0,BTC
2021-04-06,20143.2833,20633.1032,18708.5815,19033.0507,12375479968.0,BTC
2021-04-07,19075.2204,19426.1608,18693.1021,19277.0261,23982467404.0,BTC
2021-04-08,19283.4155,19517.4678,18804.8771,19495.3963,21418848092.0,BTC
2021-04-09,19613.3769,19902.2656,19257.794,19505.4345,17163716023.0,BTC
2021-04-10,19424.8726,19878.6783,19021.0809,19319.9928,27812182357.0,BTC
2021-04-11,19170.78,19348.7875,17976.9406,18210.4369,17165321539.0,BTC
2021-04-12,18346.732,18582.3979,17751.1204,17896.9048,17543305803.0,BTC
2021-04-13,17868.9241,18063.0612,17589.6604,17646.4349,11728463071.0,BTC
2021-04-14,17721.9731,17998.2538,16766.9016,17066.8524,19635620692.0,BTC
2021-04-15,16984.1148,17025.3623,16778.5219,16956.7185,26903928877.0,BTC
2021-04-16,17019.9976,17316.7625,16751.2881,17252.1067,8524702492.0,BTC
2021-04-17,17121.3444,18886.5147,17001.979,18680.0119,17449293579.0,BTC
2021-04-18,18519.7403,18878.1731,18214.4333,18823.1282,27199624304.0,BTC
2021-04-19,18890.3908,19217.9152,18687.2786,19033.5546,31182160413.0,BTC
2021-04-20,18847.0758,19288.5596,18789.0058,18979.8279,40263451300.0,BTC
2021-04-21,19064.8473,19139.0744,17457.0158,17515.5374,28859461885.0,BTC
2021-04-22,17363.658,17743.077,16988.799,17501.2928,24588056811.0,BTC
2021-04-23,17429.5518,17773.1504,17235.261,17550.8858,22529316040.0,BTC
2021-04-24,17390.7301,19546.6689,17189.1267,19469.723,47074419604.0,BTC
2021-04-25,19529.0245,19944.8854,19156.9571,19318.8525,16212594862.0,BTC
2021-04-26,19291.7794,19906.6171,18936.9872,19570.9519,41230034517.0,BTC
2021-04-27,19549.9794,19944.1291,19445.4434,19548.3039,17877907279.0,BTC
2021-04-28,19688.0986,20140.91,18344.6729,18617.5381,37174393785.0,BTC
2021-04-29,18569.5691,19840.2086,18419.7881,19538.8073,10429202858.0,BTC
2021-04-30,19612.4315,20373.2649,19200.6615,20171.7638,14382662536.0,BTC
2021-05-01,20329.1427,21053.4661,19896.2749,20859.4511,22452799589.0,BTC
2021-05-02,20661.4731,21002.382,19888.6859,20083.7868,18874122643.0,BTC
2021-05-03,20047.4869,21489.4857,19872.0893,21309.015,22516871845.0,BTC
2021-05-04,21354.096,21562.3038,19699.3147,20096.6368,24672097430.0,BTC
2021-05-05,20172.3104,20694.4223,19903.0938,20604.3141,28759162274.0,BTC
2021-05-06,20409.6185,22893.3179,20371.5834,22596.6036,20099257611.0,BTC
2021-05-07,22384.6275,22615.4506,21223.5331,21682.3179,23666745584.0,BTC
2021-05-08,21475.6213,21886.8607,20882.6417,21179.052,33093455667.0,BTC
2021-05-09,21016.4558,21783.6105,20649.4076,21274.261,21566380975.0,BTC
2021-05-10,21439.521,21771.2039,20727.8786,20835.3687,23694068744.0,BTC
2021-05-11,20787.6607,20978.2688,19293.0557,19527.5072,31272348975.0,BTC
2021-05-12,19392.4335,19869.6152,19159.742,19589.6966,34394661920.0,BTC
2021-05-13,19566.3618,19727.9017,18388.6296,18740.5005,32114192370.0,BTC
2021-05-14,18626.0425,19168.3134,18313.4743,19122.7336,9292670022.0,BTC
2021-05-15,19153.5088,19236.6488,18139.9238,18403.8899,36336798222.0,BTC
2021-05-16,18450.354,19897.8653,18167.0062,19647.6806,43352121564.0,BTC
2021-05-17,19695.0946,19809.9463,18722.4684,19017.558,66556389582.0,BTC
